Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Ticker_ADANIENT.NS,Ticker_ADANIPORTS.NS,Ticker_APOLLOHOSP.NS,Ticker_ASIANPAINT.NS,Ticker_AXISBANK.NS,Ticker_BAJAJ-AUTO.NS,Ticker_BAJAJFINSV.NS,Ticker_BAJFINANCE.NS,Ticker_BEL.NS,Ticker_BHARTIARTL.NS,Ticker_BPCL.NS,Ticker_CIPLA.NS,Ticker_COALINDIA.NS,Ticker_DRREDDY.NS,Ticker_EICHERMOT.NS,Ticker_GRASIM.NS,Ticker_HCLTECH.NS,Ticker_HDFCBANK.NS,Ticker_HDFCLIFE.NS,Ticker_HEROMOTOCO.NS,Ticker_HINDALCO.NS,Ticker_HINDUNILVR.NS,Ticker_ICICIBANK.NS,Ticker_INDUSINDBK.NS,Ticker_INFY.NS,Ticker_ITC.NS,Ticker_JIOFIN.NS,Ticker_JSWSTEEL.NS,Ticker_KOTAKBANK.NS,Ticker_LT.NS,Ticker_M&M.NS,Ticker_MARUTI.NS,Ticker_NESTLEIND.NS,Ticker_NTPC.NS,Ticker_ONGC.NS,Ticker_POWERGRID.NS,Ticker_RELIANCE.NS,Ticker_SBIN.NS,Ticker_SHRIRAMFIN.NS,Ticker_SUNPHARMA.NS,Ticker_TATACONSUM.NS,Ticker_TATASTEEL.NS,Ticker_TCS.NS,Ticker_TECHM.NS,Ticker_TITAN.NS,Ticker_TRENT.NS,Ticker_ULTRACEMCO.NS,Ticker_WIPRO.NS
25-11-2025,245.75,247.5,244.6000061,245.3500061,239.709259,8983620,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-11-2025,245.3500061,248,245.0500031,247.6999969,242.0052185,7232643,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27-11-2025,248,248.8000031,242.8000031,244,238.3902893,5600832,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-11-2025,245,245.3500061,242.5500031,243.25,237.6575317,3804191,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01-12-2025,244.0500031,245.8500061,243.0099945,244.8300018,239.2012024,6307936,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02-12-2025,243.5,246.2599945,242.5,243.5399933,237.9408569,5413988,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03-12-2025,244.0500031,244.3600006,239.5599976,240.0200043,234.5017853,11829802,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
04-12-2025,240.5,242.6999969,239.6900024,242.2299957,236.660965,10825420,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05-12-2025,242.6999969,243.1999969,240.9100037,241.2299957,235.68396,7645591,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
08-12-2025,241.2299957,242,237.6999969,238.5200043,233.0362701,5285903,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
09-12-2025,237.6999969,240.1999969,236.8300018,239.8399963,234.3259277,9026401,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-2025,239.3200073,240.3500061,238.4199982,239.2899933,233.788559,3492031,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11-12-2025,239.2899933,241.3000031,238.1399994,238.4100037,232.9288025,8868641,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12-12-2025,238.5,239.3999939,237.0200043,238.0200043,232.5477753,4252781,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-12-2025,238,238.7899933,229.9400024,235.3500061,229.9391632,12334408,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-12-2025,234.1699982,235.3000031,230.75,232.2100067,226.8713531,7238404,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-12-2025,231.75,233.4199982,228.6100006,232.9100037,227.5552521,5848233,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18-12-2025,233,234.1300049,231.2100067,232,226.6661682,3964839,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
